Position,Name,Team,Country,Gender,Rank,RoundsCompleted,MissedRounds,TotalDeltaTime,AverageDeltaTime,BestDeltaTime,WorstDeltaTime,UID,ARR,AgeBand
1,Erik Klein Ovink,,NED,Male,Silver,6,5,1049.02,174.837,149.02,180.0,74585461DEBC178A,100,70-74
2,Joe Aitch,,GBR,Male,Silver,6,5,1080.0,180.0,180.0,180.0,40DCE8FB5E0635E2,100,Senior
3,Thomas Marschall,,AUT,Male,Silver,6,5,1080.0,180.0,180.0,180.0,E4F1DF9C727FFFA6,100,45-49
4,Noel Toone KCC,Northampton & District CA,GBR,Male,Silver,6,5,1080.0,180.0,180.0,180.0,8E3324C446A55BFB,831,60-64
5,Jitze Bollens,,BEL,Male,Silver,6,5,1080.0,180.0,180.0,180.0,62811D7363E220AE,300,U23
6,simon williams,,WAL,Male,Silver,6,5,1080.0,180.0,180.0,180.0,20275B80D28EE2FA,752,60-64
7,Leonardo Roda,,POR,Male,Silver,6,5,1080.0,180.0,180.0,180.0,33AB5232080F1848,200,45-49
8,Donald Munro,Chaos,RSA,Male,Silver,7,3,1089.216,155.602,62.3,180.0,7176DAE52397B265,889,60-64
9,Aart Valkhof,,NED,Male,Silver,7,6,1260.0,180.0,180.0,180.0,3906788BD539A803,200,50-54
10,Dale Antcliff,Seacroft Wheelers,GBR,Male,Silver,7,6,1260.0,180.0,180.0,180.0,C7C622261E753DD6,100,45-49
